,phitot,LRm,LTheta,LRp,LME,LBE,LEN,LTE,LCE,LMPot,LCON,LAG,lowTotal,HRm,HTheta,HRp,HME,HBE,HEN,HTE,HCE,HMPot,HCON,HAG,highTotal,state
0,100.0,0.0004121088482826795,0.00100000971753867,1.429571825887948e-07,249.97573515495398,9.424960346915957e-05,-566.5430838999562,708.5007390029966,-312.2646973957863,-1.7153174842201782,62.1519815136919,72.15032553865224,-494.094450563262,4.1656879850407276e-05,0.0015015739025316705,2.2645125799910862e-08,249.76000124176247,0.00021250270810582543,-166.1027281165982,16.32205517867202,62.48000448777358,-6.3942977495457685,0.0009949512126608022,-623.9268061622397,-477.14250450033234,11
1,387.5,0.000504704300647606,0.0010000019577014665,1.0611163831483144e-07,968.6732238913477,9.424814076174759e-05,-1824.6351223913966,1062.6339813395994,-828.0856291852909,-1.596544454238945,188.4520219749204,112.85926177843915,-1382.219039629065,0.00012304187011021907,0.0010008158967483147,1.2248170054662673e-07,968.4350921509007,9.440162737271493e-05,-643.7347484897504,63.25898584853075,258.43334705742626,-6.393940613822304,0.05681938202741908,-2417.5626939232097,-1833.9945857055168,11
2,675.0,0.000526223036109042,0.0010000011236194397,9.957270963035654e-08,1687.371729831949,9.424798355653863e-05,-2855.110259846056,1155.1773808986004,-1096.3501689897157,-1.902349226176244,236.01037896679077,-80.13395493075731,-2107.6711387083046,2.858666104932895e-06,0.05679693513941694,1.4403738281012094e-07,1663.970188046667,0.30395142057563346,-1119.3758385821097,109.94309015101253,481.5182524162291,-6.411866328380591,0.3873716129943971,-4214.71506161385,-3165.8261858778037,11
3,962.5,1.0,1.0,1.0,2406.249903750001,86.65097392540919,-31497.972084714424,3835397190337061.5,-28758.631960867824,-28.22566557650238,1.5907618854971687e+29,962.4999999995189,1.590761885497191e+29,1.0962936042648656e-06,0.17671208938333482,1.4099787274960093e-07,2319.255018553415,2.9354400021143663,-1591.3013918211527,156.15786637632772,734.856259911407,-6.43914730537091,1.6289553350244395,-6018.331274788807,-4477.762026793778,01
4,1250.0,1.0,1.0,1.0,3124.999875000001,86.65097392540919,-40581.000673115115,3835397190337061.5,-36963.56306615591,-27.964300812368265,1.5907618854971687e+29,1249.9999999991885,1.590761885497191e+29,8.183997160972997e-07,0.2698786986631799,1.3795828302886407e-07,2974.129188876096,6.8229277347514135,-2062.4236216304216,202.27332286271724,1018.2168182025009,-6.450307128673101,4.139225798556052,-7823.25919001791,-5764.647115275735,01
5,1537.5,1.0,1.0,1.0,3843.749846250001,86.65097392540919,-49597.308561566766,3835397190337061.5,-45070.47703192189,-27.757286642984234,1.5907618854971687e+29,1537.4999999987724,1.590761885497191e+29,7.144248345630788e-07,0.3431811957196937,1.34221151416141e-07,3631.5542422055078,10.991362806034187,-2532.941996818907,248.31418340645075,1333.7483908824536,-6.453242694780684,8.027017167611039,-9629.170013434206,-7021.081272878951,01
6,1825.0,1.0,1.0,1.0,4562.499817500002,86.65097392540919,-58559.53852568578,3835397190337061.5,-53089.30205073365,-27.5858643766486,1.5907618854971687e+29,1824.9999999982701,1.590761885497191e+29,6.648248490609988e-07,0.40221779290518495,1.301014562105978e-07,4292.120641680198,15.042872965613032,-3002.9700335868406,294.2945182220099,1684.0004602312456,-6.451891226898701,13.250003159740617,-11435.87675312107,-8242.842231924533,01
7,2112.5,1.0,1.0,1.0,5281.249788750002,86.65097392540919,-67469.87471695623,3835397190337061.5,-61025.53896310701,-27.439572283434167,1.5907618854971687e+29,2112.499999997682,1.590761885497191e+29,6.387908161441818e-07,0.45087290661036483,1.2591138882670836e-07,4955.724076083397,18.836912571368657,-3472.579454753521,340.22321705033283,2071.961735221455,-6.4482566377298625,19.72930619325934,-13243.261314861391,-9426.066620632693,01
8,2400.0,1.0,1.0,1.0,5999.999760000001,86.65097392540919,-76347.37546171619,3835397190337061.5,-68881.8365947209,-27.311975626329758,1.5907618854971687e+29,2399.9999999970087,1.590761885497191e+29,6.248728294570229e-07,0.491805101404267,1.2183187170078187e-07,5622.068351555021,22.340136643589084,-3941.81253175755,386.1055149674192,2501.1439539119824,-6.443389066241752,27.3964166855916,-15051.254269737963,-10566.783626073138,01
9,2687.5,1.0,1.0,1.0,6718.749731250003,86.65097392540919,-85190.35325634138,3835397190337061.5,-76658.72484880332,-27.19883297023016,1.5907618854971687e+29,2687.4999999962492,1.590761885497191e+29,6.178583401928666e-07,0.5268727325649519,1.179474307162201e-07,6290.8197120248815,25.56305393532382,-4410.690294098888,431.94401470240757,2975.6979306987746,-6.437855667197042,36.20302875829749,-16859.821120622662,-11660.605658722363,01
10,2975.0,1.0,1.0,1.0,7437.499702500003,86.65097392540919,-94002.51630511344,3835397190337061.5,-84354.93619234813,-27.09720032468664,1.5907618854971687e+29,2974.9999999954034,1.590761885497191e+29,6.150357231819145e-07,0.5574146215519629,1.1428879063402e-07,6961.65303442374,28.53340307810924,-4879.219065798115,477.7395017140667,3500.571729863159,-6.431971396727577,46.118792658542624,-18668.951335691494,-12702.469793864611,01
11,3262.5,1.0,1.0,1.0,8156.249673750004,86.65097392540919,-102786.85233274742,3835397190337061.5,-91967.47928349876,-27.00495059103572,1.5907618854971687e+29,3262.4999999944725,1.590761885497191e+29,6.148432130691065e-07,0.584433245759931,1.1085856838150933e-07,7634.257136829611,31.28556678086914,-5347.395481706158,523.491568857866,4081.728618601539,-6.425917609840231,57.12659301556389,-20478.649971949202,-13686.365996484956,01
12,3550.0,1.0,1.0,1.0,8874.999645000004,86.65097392540919,-111545.82021851705,3835397190337061.5,-99491.52142512264,-26.9204967601975,1.5907618854971687e+29,3549.9999999934557,1.590761885497191e+29,6.163164167470217e-07,0.6086949944820239,1.0764670077788238e-07,8308.343065000732,33.85476095697207,-5815.209499101894,569.1989906776895,4726.452750149359,-6.419798881611106,69.21786894198513,-22288.932676308817,-14605.002180730386,01
13,3837.5,1.0,1.0,1.0,9593.749616250005,86.65097392540919,-120275.06567455122,3835397190337061.5,-106920.07857225862,-26.842623250771805,1.5907618854971687e+29,3837.4999999923525,1.590761885497191e+29,6.188152980176341e-07,0.6308087168918728,1.0463821995074815e-07,8983.634775875918,36.275820929402926,-6282.646502004344,614.8599846296735,5443.785881031202,-6.413677478103155,82.3896005641458,-24099.822205618413,-15449.350981896761,01
14,4125.0,1.0,1.0,1.0,10312.499587500004,86.65097392540919,-128989.16530861903,3835397190337061.5,-114243.46307486,-26.77037834389877,1.5907618854971687e+29,4124.999999991164,1.590761885497191e+29,5.995024216720904e-07,0.6763379975574374,1.0041261854728271e-07,9635.906746684626,41.49350078301763,-6746.5502866304305,660.0834719528532,6247.582957858056,-6.4088106296081975,96.64513550877821,-25916.498768985282,-16207.805816406311,01
15,4412.5,1.0,1.0,1.0,11031.249558750005,86.65097392540919,-137683.21080940214,3835397190337061.5,-121448.37601032064,-26.70300294142628,1.5907618854971687e+29,4412.499999989888,1.590761885497191e+29,6.251890444478376e-07,0.6705230824450923,9.916475399404693e-08,10336.752649708389,40.809904612369984,-7216.312509307088,706.0333163976528,7145.412648726145,-6.40156259960987,111.97304524461849,-27723.541069457733,-16866.17217458667,01
16,4700.0,1.0,1.0,1.0,11749.999530000005,86.65097392540919,-146358.51073903943,3835397190337061.5,-128516.4220790039,-26.639881854969985,1.5907618854971687e+29,4699.999999988528,1.590761885497191e+29,6.284661371524938e-07,0.6889101599230052,9.66684488235449e-08,11014.047102605284,42.988432844541386,-7682.4974514399755,751.540301499969,8164.230654157667,-6.3956061467686975,128.38247578548678,-29536.438154780066,-17404.19578593324,01
17,4987.5,1.0,1.0,1.0,12468.749501250004,86.65097392540919,-155016.21324858535,3835397190337061.5,-135421.60822502864,-26.58050958147031,1.5907618854971687e+29,4987.4999999870815,1.590761885497191e+29,6.314937052528564e-07,0.7067741644874065,9.431383345999656e-08,11691.462665291627,45.15210653874477,-8148.217398896299,796.9901718648621,9328.776377045644,-6.389732609612549,145.86409399497276,-31350.07729557343,-17794.9604017198,01
18,5275.0,1.0,1.0,1.0,13187.499472500005,86.65097392540919,-163650.92042571132,3835397190337061.5,-142125.90816400867,-26.524465684324458,1.5907618854971687e+29,5274.999999985549,1.590761885497191e+29,6.340767586698135e-07,0.7244301232259732,9.208882229079557e-08,12368.701943086695,47.33553150723903,-8613.444594850049,842.3795694482075,10678.106636478597,-6.3839504247954855,164.40613580538354,-33164.5005774781,-17999.45590564933,01
19,5562.5,1.0,1.0,1.0,13906.249443750005,86.65097392540919,-172276.3638650532,3835397190337061.5,-148570.79881992046,-26.471396716194523,1.5907618854971687e+29,5562.499999983932,1.590761885497191e+29,6.360305910272244e-07,0.7421921782815434,8.998254373968527e-08,13045.435505855656,49.576475986372046,-9078.148307948662,887.704780902013,12271.66711885286,-6.3782684067390685,183.98773318512553,-34979.754397098,-17958.286794947646,01
20,5850.0,1.0,1.0,1.0,14624.999415000008,86.65097392540919,-180886.94113083626,3835397190337061.5,-154659.38432814207,-26.421002702443403,1.5907618854971687e+29,5849.999999982228,1.590761885497191e+29,6.37180788805714e-07,0.7603761959688896,8.798584684460645e-08,13721.3021133842,51.91605199251324,-9542.296030567113,932.9618870551708,14207.18457054046,-6.372696820868591,204.57570425193921,-36795.88744930252,-17573.779473745817,01
21,6137.5,1.0,1.0,1.0,15343.749386250003,86.65097392540919,-189483.38342996725,3835397190337061.5,-160212.7338530643,-26.373026870566832,1.5907618854971687e+29,6137.499999980437,1.590761885497191e+29,6.373356321401048e-07,0.7793393051157129,8.609046372912381e-08,14395.86628590962,54.40395851925846,-10005.849365506627,978.1462573715052,16664.345885007708,-6.367249797242669,226.11889344586584,-38612.95729984202,-16666.307114752835,01
22,6425.0,1.0,1.0,1.0,16062.499357500006,86.65097392540919,-198066.35338610827,3835397190337061.5,-164836.19141752232,-26.327247732906482,1.5907618854971687e+29,6424.999999978561,1.590761885497191e+29,6.363002027235915e-07,0.7994725533734026,8.428957080303868e-08,15068.625470029949,57.09813618992855,-10468.76623764011,1023.2528259394688,20038.49773408679,-6.361945373118432,248.5411342319669,-40431.026667737526,-14840.589536297291,01
23,6712.5,1.0,1.0,1.0,16781.249328750007,86.65097392540919,-206636.45425961856,3835397190337061.5,-167295.95908373798,-26.283472903853077,1.5907618854971687e+29,6712.499999976601,1.590761885497191e+29,6.338403619927785e-07,0.821262617933382,8.257729096308586e-08,15738.937402660526,60.07400484937151,-10930.995985901518,1068.2754906850294,25564.07631513764,-6.356810876530852,271.7292771007412,-42250.17116287187,-10862.268986378478,01
24,7000.0,1.0,1.0,1.0,17499.999300000007,86.65097392540919,-215187.82412483264,3835397190337061.5,137924.49527338034,-26.24153421463304,1.5907618854971687e+29,6999.999999974554,1.590761885497191e+29,6.296869720321548e-07,0.8453126806721811,8.094910339024977e-08,16405.990760542853,63.429250677693645,-11392.477676385797,1113.2069121397958,338758.2084543089,-6.3518835638059015,295.5152502395744,-44070.48171547923,300785.68709282903,01
25,845.0,0.0005056995017031901,0.0010000115733757081,1.0580656434380125e-07,2112.33290802391,9.424995328841847e-05,-3311.1421634898757,1066.8493388378863,-1094.1457816390844,-2.2978110393727373,190.47875919041735,-417.98702462967054,-2519.945048673337,1.3826190691371155e-06,0.13130033170335542,1.420979484134358e-07,2051.8261362178614,1.6224777729088755,-1398.5420051295503,137.28425714932598,627.7975598670566,-6.430608169568594,0.9832288046099612,-5281.013762029397,-3944.2304870851267,11
26,5414.0,1.0,1.0,1.0,13534.999458600005,86.65097392540919,-167824.60177420947,3835397190337061.5,-145279.03368647632,-26.498456172494624,1.5907618854971687e+29,5413.999999984779,1.590761885497191e+29,6.351100604885618e-07,0.7329861163546397,9.105625089194357e-08,12695.97141834543,48.40947990937001,-8838.185970632965,864.3015635980313,11413.239600348486,-6.381190292434973,173.74533873179323,-34042.02983695525,-18015.04639490961,01
